Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
14,CA-2018-104695,30-Sep-18,07-Oct-18,Second Class,RA-45929,John Brown,Consumer,United States,Dallas,Washington,90569,Central,TEC-AC-42242,Technology,Accessories,Mouse,516.14,2,0.3,68.3137
15,CA-2018-138266,29-Dec-16,03-Jan-17,First Class,RA-91035,Emily Davis,Consumer,United States,Seattle,Washington,99189,South,FUR-TA-38361,Furniture,Tables,Conference Table,571.81,2,0.2,115.6954
16,CA-2017-132914,26-Apr-17,01-May-17,First Class,DL-98899,David White,Corporate,United States,Seattle,Washington,98027,South,OFF-SU-79090,Office Supplies,Supplies,Stapler,110.57,3,0.3,8.4619
17,CA-2018-181585,17-Apr-17,23-Apr-17,Standard Class,RA-32975,John Brown,Corporate,United States,Los Angeles,Texas,96948,East,TEC-AC-92930,Technology,Accessories,Mouse,527.79,9,0.5,50.4551
18,CA-2017-121813,03-Aug-17,08-Aug-17,First Class,SM-41076,Ruben Ausman,Consumer,United States,Seattle,New York,92903,Central,OFF-PA-61464,Office Supplies,Paper,Note Pad,846.95,8,0.2,71.6222
19,CA-2016-153496,03-Apr-18,04-Apr-18,First Class,KT-56928,Bradley Nguyen,Home Office,United States,Los Angeles,Texas,90805,South,FUR-BO-90107,Furniture,Bookcases,Small Bookcase,969.22,9,0.2,44.4844
20,CA-2016-188742,18-Jun-18,24-Jun-18,First Class,DL-49265,Jane Smith,Consumer,United States,Los Angeles,Washington,90915,East,TEC-PH-35366,Technology,Phones,OnePlus 9,836.93,3,0.0,189.9099
21,CA-2017-162504,30-May-18,05-Jun-18,Same Day,BN-78764,David White,Consumer,United States,Los Angeles,Texas,92796,West,TEC-MA-21535,Technology,Machines,Dell Scanner,665.67,4,0.5,60.3779
22,CA-2017-169161,19-Sep-17,20-Sep-17,Same Day,BN-35664,Bradley Nguyen,Consumer,United States,New York,California,90641,West,FUR-TA-39920,Furniture,Tables,Work Desk,455.93,4,0.3,35.9764
23,CA-2016-154973,05-Dec-16,08-Dec-16,Standard Class,BN-18460,Jane Smith,Consumer,United States,Dallas,Washington,94725,West,OFF-SU-82535,Office Supplies,Supplies,Glue Stick,225.01,3,0.0,24.2809
24,CA-2017-167278,04-Sep-16,07-Sep-16,Standard Class,BN-81658,Emily Davis,Consumer,United States,Dallas,Florida,99800,South,OFF-SU-20564,Office Supplies,Supplies,Glue Stick,594.35,6,0.0,106.2852
25,CA-2017-198828,03-May-16,05-May-16,First Class,RA-58485,Bradley Nguyen,Home Office,United States,Dallas,Washington,93974,East,OFF-BI-79184,Office Supplies,Binders,Lever Arch File,904.85,3,0.3,92.5788
26,CA-2017-152831,27-May-16,28-May-16,Same Day,BN-19603,David White,Corporate,United States,New York,California,93821,East,TEC-PH-14387,Technology,Phones,OnePlus 9,596.13,8,0.1,113.9062
27,CA-2017-174754,12-Mar-16,19-Mar-16,Standard Class,BN-79771,Sarah Lee,Home Office,United States,New York,Texas,97769,South,FUR-CH-15336,Furniture,Chairs,Ergo Chair,432.27,7,0.0,49.2517
28,CA-2018-142956,08-Aug-18,11-Aug-18,Same Day,DL-32160,Michael Chen,Home Office,United States,Seattle,New York,94930,Central,TEC-MA-61714,Technology,Machines,HP Printer,653.48,3,0.0,151.9466
29,CA-2016-113150,02-Aug-16,07-Aug-16,Standard Class,SM-37898,Emily Davis,Consumer,United States,Miami,Texas,98509,East,OFF-ST-95657,Office Supplies,Storage,Sauder Shelf,200.84,2,0.2,28.3779
30,CA-2017-137213,20-Oct-16,27-Oct-16,Second Class,BN-13795,Sarah Lee,Home Office,United States,Los Angeles,California,93471,South,FUR-BO-75652,Furniture,Bookcases,5-Shelf Bookcase,143.82,4,0.1,14.0192
31,CA-2017-106894,19-Oct-16,26-Oct-16,First Class,RA-34406,Bradley Nguyen,Corporate,United States,Miami,Texas,99024,Central,OFF-PA-93268,Office Supplies,Paper,A4 Sheet Pack,920.93,9,0.0,268.3427
32,CA-2017-171920,12-Apr-18,14-Apr-18,Standard Class,SM-35108,Michael Chen,Corporate,United States,New York,Florida,92900,Central,FUR-BO-88268,Furniture,Bookcases,5-Shelf Bookcase,806.5,2,0.2,161.0083
33,CA-2017-149355,17-May-17,18-May-17,Second Class,RA-44858,Bradley Nguyen,Consumer,United States,Seattle,Texas,97477,East,FUR-TA-85815,Furniture,Tables,Side Table,854.6,9,0.0,82.7588
34,CA-2017-179623,06-Apr-17,09-Apr-17,First Class,RA-78562,David White,Home Office,United States,Los Angeles,Florida,92437,West,OFF-BI-54020,Office Supplies,Binders,Lever Arch File,172.34,5,0.2,13.9043
35,CA-2016-161007,21-Jun-16,27-Jun-16,Second Class,BN-85857,David White,Consumer,United States,New York,California,92813,West,OFF-PA-91695,Office Supplies,Paper,Recycled Paper,610.52,5,0.1,89.1221
36,CA-2018-156603,27-Oct-18,30-Oct-18,Same Day,KT-84929,Emily Davis,Home Office,United States,New York,New York,95467,Central,TEC-PH-92218,Technology,Phones,OnePlus 9,530.75,8,0.3,60.5193
37,CA-2017-197366,31-May-17,04-Jun-17,Standard Class,SM-26957,Ruben Ausman,Home Office,United States,Miami,Texas,90652,South,TEC-PH-79828,Technology,Phones,iPhone 13,564.9,10,0.5,41.9248
38,CA-2018-108834,03-Nov-16,07-Nov-16,Standard Class,DL-47524,Michael Chen,Home Office,United States,Seattle,Washington,98394,South,TEC-MA-72828,Technology,Machines,Dell Scanner,785.95,2,0.3,72.0535
39,CA-2016-107029,12-Sep-17,18-Sep-17,Standard Class,KT-41817,John Brown,Corporate,United States,Miami,California,93525,South,FUR-BO-94150,Furniture,Bookcases,5-Shelf Bookcase,683.98,10,0.2,150.7902
40,CA-2016-128474,11-Mar-17,14-Mar-17,Same Day,SM-84444,Emily Davis,Home Office,United States,Dallas,Florida,91675,West,TEC-PH-74120,Technology,Phones,OnePlus 9,964.62,8,0.2,54.9127
41,CA-2016-141278,24-Dec-17,25-Dec-17,Second Class,DL-27230,Ruben Ausman,Home Office,United States,Los Angeles,New York,93907,East,FUR-BO-46074,Furniture,Bookcases,5-Shelf Bookcase,566.92,10,0.5,39.478
42,CA-2018-135545,11-Nov-17,13-Nov-17,Same Day,KT-87087,Michael Chen,Corporate,United States,Seattle,Texas,99997,South,TEC-AC-43781,Technology,Accessories,Mouse,240.56,6,0.5,24.4952
43,CA-2018-106033,06-Sep-18,13-Sep-18,Same Day,SM-85637,David White,Consumer,United States,Los Angeles,Texas,95308,Central,FUR-TA-85509,Furniture,Tables,Side Table,688.86,1,0.1,60.4078
44,CA-2016-125227,14-Oct-18,16-Oct-18,Same Day,RA-39069,Bradley Nguyen,Home Office,United States,Seattle,California,90457,Central,TEC-MA-41804,Technology,Machines,Canon Copier,965.13,5,0.0,125.863
45,CA-2016-167967,09-Dec-18,12-Dec-18,Standard Class,RA-32303,Bradley Nguyen,Consumer,United States,Dallas,California,97962,Central,FUR-CH-98950,Furniture,Chairs,Executive Chair,38.56,3,0.5,4.478
46,CA-2018-145183,02-Jan-16,03-Jan-16,First Class,SM-56016,David White,Home Office,United States,Dallas,Washington,90176,West,TEC-AC-44129,Technology,Accessories,Mouse,508.57,3,0.0,140.2872
47,CA-2016-110338,25-Jul-17,01-Aug-17,First Class,RA-89517,Bradley Nguyen,Corporate,United States,Dallas,Texas,99748,Central,OFF-PA-88109,Office Supplies,Paper,Recycled Paper,948.79,9,0.1,193.5061
48,CA-2017-124440,07-Jul-18,11-Jul-18,First Class,RA-66053,Michael Chen,Consumer,United States,Los Angeles,Florida,99682,Central,TEC-MA-98924,Technology,Machines,HP Printer,258.75,9,0.1,32.631
49,CA-2017-139139,07-Sep-17,09-Sep-17,Same Day,RA-47517,John Brown,Home Office,United States,Dallas,Florida,99516,Central,OFF-PA-35808,Office Supplies,Paper,Recycled Paper,294.34,7,0.0,35.3967
50,CA-2017-154200,18-Jan-16,23-Jan-16,Same Day,RA-62195,David White,Home Office,United States,New York,Washington,98395,West,TEC-PH-33341,Technology,Phones,OnePlus 9,509.71,7,0.2,121.1999
51,CA-2018-145399,27-Sep-16,29-Sep-16,Standard Class,BN-95799,Sarah Lee,Consumer,United States,New York,California,95583,South,OFF-AR-66006,Office Supplies,Art,Newell 327,196.9,2,0.1,38.8619
52,CA-2016-159796,09-Feb-17,12-Feb-17,Second Class,DL-63992,Emily Davis,Home Office,United States,Seattle,California,99859,South,OFF-SU-50841,Office Supplies,Supplies,Stapler,27.31,8,0.2,2.0882
53,CA-2016-175886,24-Oct-17,31-Oct-17,First Class,KT-39070,David White,Home Office,United States,Miami,Texas,93329,East,FUR-CH-13651,Furniture,Chairs,Mesh Chair,539.52,4,0.3,92.9363
54,CA-2016-132540,11-Aug-17,16-Aug-17,Second Class,RA-38211,Sarah Lee,Consumer,United States,Seattle,New York,92849,South,FUR-TA-29666,Furniture,Tables,Work Desk,492.79,3,0.2,36.7289
55,CA-2016-143504,07-Jan-16,11-Jan-16,Same Day,DL-14317,Jane Smith,Consumer,United States,Miami,California,92682,South,FUR-BO-92394,Furniture,Bookcases,Wall Bookcase,909.81,8,0.1,81.934
56,CA-2016-195490,17-Jan-17,21-Jan-17,Second Class,SM-14691,Michael Chen,Consumer,United States,New York,Florida,95141,Central,OFF-ST-77056,Office Supplies,Storage,Eldon Base,29.32,2,0.3,3.0152
57,CA-2016-183718,26-Sep-18,29-Sep-18,Standard Class,BN-65308,Ruben Ausman,Home Office,United States,New York,Texas,90336,East,TEC-AC-69140,Technology,Accessories,Webcam,823.87,6,0.2,175.3213
58,CA-2017-175875,26-Sep-17,28-Sep-17,Standard Class,DL-25296,Bradley Nguyen,Home Office,United States,New York,New York,90492,South,TEC-PH-81739,Technology,Phones,OnePlus 9,273.54,4,0.1,17.3715
59,CA-2018-131961,14-Mar-16,20-Mar-16,Second Class,KT-95461,Bradley Nguyen,Consumer,United States,Miami,New York,94223,South,TEC-MA-83316,Technology,Machines,Canon Copier,384.29,7,0.0,85.4246
60,CA-2016-175273,14-Dec-16,20-Dec-16,Second Class,RA-58803,Sarah Lee,Home Office,United States,New York,Florida,98259,Central,TEC-MA-96003,Technology,Machines,Dell Scanner,420.55,2,0.2,44.6931
61,CA-2016-116746,15-Sep-17,16-Sep-17,Standard Class,DL-19406,Sarah Lee,Home Office,United States,Los Angeles,California,99148,South,OFF-AR-51502,Office Supplies,Art,Newell 317,679.88,2,0.3,116.2705
62,CA-2016-136110,05-Jan-18,06-Jan-18,Second Class,RA-94965,Emily Davis,Corporate,United States,Seattle,Washington,96309,Central,FUR-CH-19200,Furniture,Chairs,Mesh Chair,287.25,2,0.3,27.445
63,CA-2016-134408,07-Oct-18,12-Oct-18,Second Class,SM-58777,Jane Smith,Corporate,United States,Seattle,California,96551,Central,FUR-BO-97509,Furniture,Bookcases,Small Bookcase,36.04,3,0.0,5.7843
64,CA-2016-117002,25-May-16,27-May-16,First Class,BN-22098,Bradley Nguyen,Home Office,United States,Seattle,New York,97093,Central,FUR-CH-69862,Furniture,Chairs,Executive Chair,966.27,5,0.3,41.7591
65,CA-2016-109397,15-Jun-18,17-Jun-18,Same Day,RA-25520,John Brown,Home Office,United States,New York,New York,97604,Central,OFF-PA-68474,Office Supplies,Paper,Note Pad,467.05,2,0.2,61.187
66,CA-2018-155993,22-Oct-17,28-Oct-17,Same Day,KT-79545,David White,Home Office,United States,New York,Washington,94692,Central,TEC-AC-27558,Technology,Accessories,Keyboard,118.31,3,0.3,7.4927
67,CA-2016-186895,24-Dec-16,30-Dec-16,Second Class,DL-27608,Sarah Lee,Corporate,United States,Miami,Washington,90291,East,OFF-ST-79989,Office Supplies,Storage,Eldon Base,977.73,8,0.3,121.1948
68,CA-2018-132972,11-Nov-18,12-Nov-18,Standard Class,DL-55364,Jane Smith,Home Office,United States,New York,Florida,95769,West,FUR-CH-25912,Furniture,Chairs,Ergo Chair,394.3,2,0.0,51.4418
69,CA-2018-135533,10-Jan-18,11-Jan-18,Same Day,RA-47952,John Brown,Home Office,United States,Miami,New York,95850,South,FUR-TA-66070,Furniture,Tables,Work Desk,664.91,3,0.2,119.9058
70,CA-2018-171368,28-Jun-16,04-Jul-16,Standard Class,KT-26423,Ruben Ausman,Consumer,United States,Dallas,Florida,93741,Central,OFF-SU-36231,Office Supplies,Supplies,Stapler,82.32,7,0.2,16.3135
71,CA-2017-143013,28-Oct-16,02-Nov-16,Second Class,SM-26513,John Brown,Home Office,United States,New York,Florida,98113,East,FUR-BO-46034,Furniture,Bookcases,Wall Bookcase,461.72,7,0.5,15.6971
72,CA-2017-129325,17-Apr-18,24-Apr-18,Standard Class,DL-96006,John Brown,Corporate,United States,Dallas,California,91626,East,FUR-TA-83338,Furniture,Tables,Conference Table,220.71,4,0.2,21.6333
73,CA-2016-193042,14-Oct-18,19-Oct-18,First Class,RA-38091,Bradley Nguyen,Corporate,United States,Miami,Texas,95315,South,OFF-AR-65102,Office Supplies,Art,Sharpie Marker,559.76,3,0.3,84.0465
74,CA-2016-151756,22-Sep-16,23-Sep-16,Second Class,SM-65647,Michael Chen,Home Office,United States,Dallas,New York,92552,South,TEC-PH-21477,Technology,Phones,Samsung Galaxy,400.82,6,0.1,57.4372
75,CA-2018-113181,04-Mar-17,08-Mar-17,Same Day,SM-66150,Sarah Lee,Corporate,United States,New York,California,90380,South,TEC-AC-70662,Technology,Accessories,Mouse,940.36,9,0.0,63.0093
76,CA-2018-134929,06-Mar-16,09-Mar-16,Standard Class,DL-68626,Ruben Ausman,Consumer,United States,Miami,Texas,99677,East,OFF-PA-75815,Office Supplies,Paper,Note Pad,615.9,4,0.5,18.5482
77,CA-2017-136228,21-Jan-17,24-Jan-17,Same Day,BN-99575,John Brown,Home Office,United States,Los Angeles,Texas,91243,East,FUR-BO-25952,Furniture,Bookcases,Wall Bookcase,974.3,6,0.0,142.0731
78,CA-2016-110435,29-Nov-18,06-Dec-18,Standard Class,SM-32806,David White,Consumer,United States,Dallas,California,91236,Central,OFF-PA-56059,Office Supplies,Paper,Recycled Paper,646.26,5,0.5,47.5212
79,CA-2017-152062,07-Sep-16,14-Sep-16,Second Class,RA-43037,Jane Smith,Consumer,United States,Miami,Washington,97294,Central,FUR-CH-33519,Furniture,Chairs,Mesh Chair,339.28,5,0.2,41.9209
80,CA-2018-135882,26-May-16,30-May-16,Same Day,DL-53405,Emily Davis,Consumer,United States,Seattle,Washington,93064,Central,TEC-PH-81443,Technology,Phones,Samsung Galaxy,773.82,10,0.2,34.371
81,CA-2018-112053,19-Apr-18,23-Apr-18,Standard Class,RA-96149,John Brown,Home Office,United States,Seattle,New York,90699,Central,TEC-PH-51183,Technology,Phones,iPhone 13,308.92,3,0.2,31.7412
82,CA-2018-165709,24-Sep-18,27-Sep-18,Standard Class,DL-82809,Emily Davis,Consumer,United States,Seattle,New York,95413,South,OFF-AR-24239,Office Supplies,Art,Newell 327,771.63,3,0.1,129.4426
83,CA-2016-101151,05-May-17,10-May-17,First Class,RA-32381,Jane Smith,Corporate,United States,Miami,Washington,95390,South,TEC-PH-93118,Technology,Phones,iPhone 13,518.12,5,0.3,82.4338
84,CA-2018-120727,11-Oct-17,18-Oct-17,Second Class,KT-19894,Bradley Nguyen,Corporate,United States,Miami,New York,99700,West,OFF-SU-93062,Office Supplies,Supplies,Stapler,818.23,10,0.3,99.2142
85,CA-2018-138480,11-Apr-16,12-Apr-16,First Class,DL-87063,Jane Smith,Corporate,United States,Dallas,New York,97449,West,TEC-AC-45780,Technology,Accessories,Mouse,580.01,1,0.5,84.8784
86,CA-2018-112322,10-Jun-18,12-Jun-18,Same Day,KT-76266,Ruben Ausman,Home Office,United States,Los Angeles,California,92408,East,TEC-AC-48654,Technology,Accessories,Mouse,806.03,3,0.1,142.1185
87,CA-2017-169008,05-Nov-18,12-Nov-18,Second Class,KT-87934,John Brown,Corporate,United States,Los Angeles,Florida,94359,West,TEC-PH-50833,Technology,Phones,iPhone 13,633.72,10,0.3,43.0891
88,CA-2018-151703,30-Dec-17,06-Jan-18,Second Class,DL-26929,John Brown,Home Office,United States,New York,New York,94670,South,TEC-PH-29086,Technology,Phones,OnePlus 9,355.57,8,0.5,24.1032
89,CA-2018-197213,13-Mar-16,19-Mar-16,Second Class,KT-53161,Jane Smith,Corporate,United States,Dallas,Washington,93386,West,FUR-CH-97754,Furniture,Chairs,Executive Chair,503.77,4,0.5,47.0711
90,CA-2017-102039,11-May-18,17-May-18,Second Class,SM-32227,Jane Smith,Home Office,United States,New York,Texas,99589,East,FUR-CH-60713,Furniture,Chairs,Executive Chair,290.65,3,0.1,14.5694
91,CA-2018-154139,22-May-18,24-May-18,Second Class,DL-97981,Jane Smith,Consumer,United States,Dallas,California,90223,East,TEC-MA-10785,Technology,Machines,Canon Copier,314.19,4,0.0,63.3518
92,CA-2017-108171,14-Apr-16,16-Apr-16,First Class,SM-43314,John Brown,Corporate,United States,Seattle,Texas,96166,Central,OFF-BI-75914,Office Supplies,Binders,Lever Arch File,654.36,5,0.0,138.5075
93,CA-2017-126461,08-Oct-16,10-Oct-16,Same Day,DL-31137,Bradley Nguyen,Consumer,United States,Los Angeles,California,91519,South,TEC-MA-29782,Technology,Machines,Canon Copier,570.17,1,0.3,81.9483
94,CA-2017-171753,29-Sep-18,01-Oct-18,Second Class,DL-71564,Bradley Nguyen,Corporate,United States,Miami,California,97466,West,OFF-SU-27994,Office Supplies,Supplies,Stapler,816.84,7,0.5,76.5604
95,CA-2017-119282,11-Feb-18,16-Feb-18,First Class,KT-20681,Emily Davis,Corporate,United States,Los Angeles,California,91216,East,OFF-AR-98460,Office Supplies,Art,Newell 327,761.72,2,0.5,29.634
96,CA-2017-160728,02-Jun-18,09-Jun-18,Second Class,KT-74575,Ruben Ausman,Consumer,United States,Dallas,New York,91282,West,TEC-PH-36102,Technology,Phones,Samsung Galaxy,518.22,8,0.1,100.5722
97,CA-2017-147242,04-Jan-16,08-Jan-16,First Class,KT-93828,Bradley Nguyen,Corporate,United States,Los Angeles,Florida,97430,West,FUR-CH-60612,Furniture,Chairs,Mesh Chair,551.54,1,0.2,65.2839
98,CA-2018-146859,05-Jun-18,10-Jun-18,Same Day,KT-22543,Emily Davis,Consumer,United States,Los Angeles,New York,93484,Central,TEC-AC-48206,Technology,Accessories,Webcam,481.81,10,0.3,40.5438
99,CA-2018-158718,11-Sep-18,18-Sep-18,Standard Class,DL-50623,David White,Home Office,United States,Dallas,Washington,93335,West,FUR-CH-46846,Furniture,Chairs,Executive Chair,920.04,10,0.0,204.775
100,CA-2018-103720,17-Jun-17,24-Jun-17,First Class,RA-42768,Ruben Ausman,Consumer,United States,New York,Florida,93497,Central,TEC-PH-42778,Technology,Phones,OnePlus 9,332.27,3,0.2,23.2974
101,CA-2016-123901,05-Jun-17,10-Jun-17,Standard Class,BN-80859,John Brown,Corporate,United States,New York,New York,90537,East,TEC-AC-55023,Technology,Accessories,Keyboard,296.74,10,0.1,37.4564
102,CA-2017-172043,09-Jan-17,12-Jan-17,First Class,BN-89381,Bradley Nguyen,Home Office,United States,Los Angeles,California,94655,Central,OFF-PA-88791,Office Supplies,Paper,Recycled Paper,693.25,4,0.1,159.2306
103,CA-2017-187128,03-May-17,05-May-17,Second Class,BN-17342,Jane Smith,Consumer,United States,Miami,Texas,97589,South,OFF-ST-37880,Office Supplies,Storage,IKEA Box,626.55,6,0.3,61.9563
104,CA-2017-112205,24-Oct-16,26-Oct-16,Same Day,RA-53744,Bradley Nguyen,Corporate,United States,Seattle,Florida,90137,East,FUR-CH-27425,Furniture,Chairs,Mesh Chair,603.77,5,0.1,128.6394
105,CA-2017-108268,06-Oct-18,12-Oct-18,Standard Class,BN-14648,Bradley Nguyen,Consumer,United States,Seattle,New York,99451,Central,FUR-CH-87903,Furniture,Chairs,Executive Chair,232.54,7,0.3,36.3363
106,CA-2017-111839,17-Aug-16,23-Aug-16,First Class,SM-97716,John Brown,Corporate,United States,New York,New York,91205,South,FUR-BO-85354,Furniture,Bookcases,5-Shelf Bookcase,243.51,10,0.5,6.7243
107,CA-2016-100956,27-Jan-18,31-Jan-18,Same Day,RA-57523,John Brown,Corporate,United States,Dallas,New York,90700,Central,OFF-AR-35995,Office Supplies,Art,Sharpie Marker,540.35,5,0.1,114.8478
108,CA-2016-192884,21-Jan-16,23-Jan-16,First Class,KT-64111,Ruben Ausman,Home Office,United States,Seattle,Texas,95256,Central,TEC-PH-57220,Technology,Phones,iPhone 13,916.55,3,0.2,65.6977
109,CA-2016-105736,22-Jan-18,26-Jan-18,Same Day,RA-23622,Sarah Lee,Corporate,United States,Los Angeles,Texas,91195,South,FUR-CH-60497,Furniture,Chairs,Ergo Chair,206.29,7,0.2,8.8074
110,CA-2018-117514,22-Jan-18,23-Jan-18,Same Day,SM-79890,John Brown,Corporate,United States,Seattle,New York,99677,Central,FUR-CH-24906,Furniture,Chairs,Executive Chair,371.23,2,0.1,84.1067
111,CA-2017-173963,30-Oct-16,31-Oct-16,First Class,BN-14557,David White,Corporate,United States,Los Angeles,California,93650,West,OFF-ST-14488,Office Supplies,Storage,IKEA Box,654.86,10,0.1,117.4635
112,CA-2016-122060,08-Aug-17,10-Aug-17,Same Day,BN-86840,John Brown,Home Office,United States,Dallas,California,98479,South,FUR-CH-86309,Furniture,Chairs,Ergo Chair,621.13,8,0.3,123.1531
113,CA-2016-170961,09-Mar-16,11-Mar-16,Second Class,BN-87251,Jane Smith,Home Office,United States,New York,California,90655,Central,FUR-TA-60720,Furniture,Tables,Work Desk,79.11,2,0.3,10.7877
114,CA-2017-153400,10-Dec-18,11-Dec-18,First Class,SM-45054,John Brown,Corporate,United States,Seattle,California,97804,Central,FUR-CH-70814,Furniture,Chairs,Executive Chair,634.51,3,0.3,84.164
115,CA-2017-141940,29-Nov-17,01-Dec-17,Second Class,DL-99440,John Brown,Corporate,United States,Dallas,Florida,92380,South,TEC-PH-92816,Technology,Phones,OnePlus 9,616.98,9,0.5,73.2717
116,CA-2016-155665,29-Dec-17,04-Jan-18,First Class,SM-13865,Emily Davis,Home Office,United States,Seattle,Florida,96662,East,OFF-ST-95841,Office Supplies,Storage,Sauder Shelf,661.39,10,0.5,66.8346
117,CA-2017-182024,23-Aug-18,29-Aug-18,Second Class,KT-92715,John Brown,Home Office,United States,Los Angeles,Texas,91284,East,FUR-CH-84039,Furniture,Chairs,Ergo Chair,44.27,9,0.1,3.859
118,CA-2018-146216,01-Oct-17,08-Oct-17,Second Class,RA-59002,Bradley Nguyen,Corporate,United States,Dallas,Florida,91083,Central,TEC-PH-94157,Technology,Phones,iPhone 13,387.4,5,0.2,51.2481
119,CA-2016-191530,09-May-17,16-May-17,Second Class,RA-88183,Sarah Lee,Consumer,United States,Miami,Texas,98145,West,FUR-CH-14878,Furniture,Chairs,Mesh Chair,504.23,9,0.5,43.554
120,CA-2017-164773,15-Nov-18,16-Nov-18,Standard Class,RA-88590,Ruben Ausman,Home Office,United States,Los Angeles,Florida,97032,West,TEC-AC-38170,Technology,Accessories,Webcam,948.29,7,0.0,73.6362
121,CA-2018-176961,05-May-18,12-May-18,Second Class,SM-93084,Ruben Ausman,Corporate,United States,Dallas,Florida,93721,East,OFF-SU-55452,Office Supplies,Supplies,Scissors,174.52,6,0.5,20.974
122,CA-2016-185093,03-May-17,09-May-17,Same Day,SM-58418,David White,Home Office,United States,Los Angeles,Texas,95052,East,TEC-MA-83087,Technology,Machines,Dell Scanner,374.29,5,0.2,67.2846
123,CA-2018-160988,13-Feb-18,16-Feb-18,First Class,DL-48854,John Brown,Corporate,United States,New York,Florida,95159,Central,FUR-BO-90909,Furniture,Bookcases,Wall Bookcase,147.5,9,0.3,6.5116
124,CA-2017-135328,21-Oct-18,27-Oct-18,Standard Class,DL-69169,David White,Home Office,United States,Miami,Texas,94661,Central,TEC-PH-53070,Technology,Phones,Samsung Galaxy,176.9,10,0.0,28.2112
125,CA-2018-159171,30-May-16,05-Jun-16,Second Class,DL-12662,Michael Chen,Consumer,United States,Dallas,Texas,96791,Central,OFF-SU-33244,Office Supplies,Supplies,Glue Stick,177.98,10,0.0,50.9245
126,CA-2018-160230,08-Jan-16,13-Jan-16,First Class,DL-42450,Jane Smith,Home Office,United States,Miami,California,97935,East,TEC-PH-16421,Technology,Phones,Samsung Galaxy,510.17,2,0.5,64.3608
127,CA-2018-130805,27-May-17,02-Jun-17,Standard Class,SM-69281,Bradley Nguyen,Home Office,United States,Los Angeles,California,98402,Central,OFF-SU-88976,Office Supplies,Supplies,Glue Stick,333.79,4,0.1,58.422
